epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66195,0.89539,2.97174,1.38911,0.00404,1,0.08599,0.05755,0.26798,3.23136,0.80067,3.334e-05,3.334e-05,3.334e-05
2,12.8152,0.72692,2.9683,1.31196,0.00403,1,0.5558,0.43449,0.32129,3.25416,0.81611,8.16997e-05,8.16997e-05,8.16997e-05
3,18.9822,0.5561,2.63308,1.17068,0.00392,1,0.995,0.86251,0.34522,3.21745,0.86178,0.000128079,0.000128079,0.000128079
4,25.2463,0.53009,2.29741,1.16521,0.00382,1,0.995,0.86793,0.30859,3.04116,0.8415,0.000172478,0.000172478,0.000172478
5,31.4602,0.45126,1.81329,1.13537,0.00364,1,0.995,0.92903,0.27914,2.76897,0.74401,0.000214896,0.000214896,0.000214896
6,37.6992,0.49395,1.62734,1.20282,0.00348,1,0.995,0.8955,0.34201,2.69509,0.80466,0.000255334,0.000255334,0.000255334
7,43.8403,0.44218,1.27284,1.10295,0.47794,0.52908,0.6855,0.62697,0.40501,2.72857,0.81228,0.000293792,0.000293792,0.000293792
8,50.0622,0.60614,1.17382,1.18806,0.96662,0.5,0.64675,0.57455,0.45478,2.77989,0.85862,0.000330269,0.000330269,0.000330269
9,56.1812,0.55729,1.30258,1.19279,0.97822,0.5,0.64675,0.6169,0.41593,2.70936,0.9057,0.000364766,0.000364766,0.000364766
10,62.2956,0.56486,1.02936,1.15651,0.96242,0.5,0.65233,0.62137,0.39257,2.58599,0.96034,0.000397283,0.000397283,0.000397283
11,68.4396,0.55995,1.02335,1.12064,0.94367,1,0.995,0.9022,0.48214,2.01635,1.00041,0.000427819,0.000427819,0.000427819
12,74.5442,0.47673,1.16427,1.06679,0.71765,1,0.95375,0.89576,0.43291,1.92712,0.99,0.000456375,0.000456375,0.000456375
13,80.7011,0.52673,0.98895,1.11352,0.93942,0.5,0.995,0.83197,0.59672,1.84838,1.20899,0.00048295,0.00048295,0.00048295
14,86.7151,0.51879,0.97783,1.11905,0.92226,1,0.995,0.72563,0.75234,1.79409,1.29993,0.000507545,0.000507545,0.000507545
15,92.8934,0.60063,0.98144,1.16739,0.94772,0.99006,0.995,0.84874,0.55453,1.67824,1.16119,0.000530159,0.000530159,0.000530159
16,99.0107,0.54675,0.90985,1.12869,0.98,0.9974,0.995,0.89849,0.49911,1.57825,1.09743,0.000550793,0.000550793,0.000550793
17,105.161,0.43729,0.90897,1.06619,0.9427,1,0.995,0.86252,0.48672,1.6816,1.05061,0.000569447,0.000569447,0.000569447
18,111.393,0.46523,0.93833,1.1166,0.96861,1,0.995,0.92903,0.42771,1.65552,0.97678,0.000586121,0.000586121,0.000586121
19,117.574,0.78968,1.40431,1.46072,0.96688,1,0.995,0.91227,0.46867,1.76015,1.04318,0.000600813,0.000600813,0.000600813
20,123.859,0.51549,0.87892,1.09094,0.89691,1,0.995,0.90389,0.52001,1.79335,1.08789,0.000613526,0.000613526,0.000613526
21,130.072,0.56113,0.903,1.12291,0.90442,0.85949,0.995,0.82376,0.55359,1.89467,1.02447,0.000624258,0.000624258,0.000624258
22,136.353,0.5142,0.86454,1.12579,0.64307,0.99918,0.64675,0.59092,0.58083,2.08477,0.98135,0.00063301,0.00063301,0.00063301
23,142.552,0.48578,0.95148,1.0799,0.58556,1,0.63318,0.58708,0.54406,2.24281,0.99314,0.000639781,0.000639781,0.000639781
24,148.685,0.48377,0.97107,1.09452,0.95058,1,0.995,0.88544,0.47002,2.18824,0.97498,0.000644572,0.000644572,0.000644572
25,154.887,0.521,0.95836,1.0972,0.94565,0.99492,0.995,0.88312,0.41415,1.72634,0.99705,0.000647383,0.000647383,0.000647383
26,160.909,0.45416,0.83591,1.03717,0.98923,1,0.995,0.86813,0.37556,1.24523,0.93158,0.000648213,0.000648213,0.000648213
27,167.106,0.54452,0.92158,1.09651,0.98932,1,0.995,0.92903,0.35882,1.15298,0.90704,0.000647063,0.000647063,0.000647063
